"filename", "language", "C", "Objective-C", "Makefile", "C++", "comment", "blank", "total"
"/Users/mheinke/Desktop/so_long/mlx-macos/Makefile", "Makefile", 0, 0, -40, 0, -3, -8, -51
"/Users/mheinke/Desktop/so_long/mlx-macos/font.c", "C", -3522, 0, 0, 0, -1, -3, -3526
"/Users/mheinke/Desktop/so_long/mlx-macos/mlx.h", "C++", 0, 0, 0, -36, -83, -31, -150
"/Users/mheinke/Desktop/so_long/mlx-macos/mlx_init_loop.m", "Objective-C", 0, -148, 0, 0, -5, -40, -193
"/Users/mheinke/Desktop/so_long/mlx-macos/mlx_int.h", "C++", 0, 0, 0, -75, -9, -19, -103
"/Users/mheinke/Desktop/so_long/mlx-macos/mlx_int_str_to_wordtab.c", "C", -93, 0, 0, 0, -3, -12, -108
"/Users/mheinke/Desktop/so_long/mlx-macos/mlx_mouse.m", "Objective-C", 0, -40, 0, 0, -3, -10, -53
"/Users/mheinke/Desktop/so_long/mlx-macos/mlx_new_image.m", "Objective-C", 0, -149, 0, 0, -10, -40, -199
"/Users/mheinke/Desktop/so_long/mlx-macos/mlx_new_window.h", "C++", 0, 0, 0, -43, -7, -8, -58
"/Users/mheinke/Desktop/so_long/mlx-macos/mlx_new_window.m", "Objective-C", 0, -539, 0, 0, -78, -150, -767
"/Users/mheinke/Desktop/so_long/mlx-macos/mlx_opengl.h", "C++", 0, 0, 0, -3, -12, -7, -22
"/Users/mheinke/Desktop/so_long/mlx-macos/mlx_opengl.m", "Objective-C", 0, -39, 0, 0, -1, -18, -58
"/Users/mheinke/Desktop/so_long/mlx-macos/mlx_png.c", "C", -363, 0, 0, 0, -8, -48, -419
"/Users/mheinke/Desktop/so_long/mlx-macos/mlx_png.h", "C++", 0, 0, 0, -1, 0, -4, -5
"/Users/mheinke/Desktop/so_long/mlx-macos/mlx_rgb.c", "C", -757, 0, 0, 0, -4, -3, -764
"/Users/mheinke/Desktop/so_long/mlx-macos/mlx_shaders.c", "C", -200, 0, 0, 0, -1, -40, -241
"/Users/mheinke/Desktop/so_long/mlx-macos/mlx_xpm.c", "C", -241, 0, 0, 0, -55, -43, -339
